Date,Fremont Bridge West Sidewalk,Fremont Bridge East Sidewalk
10/11/14,648,483
10/12/14,839,720
10/13/14,1967,1388
10/14/14,1647,1550
10/15/14,1415,1140
10/16/14,2126,1503
10/17/14,1236,973
10/18/14,795,583
10/19/14,1254,994
10/20/14,1314,1544
10/21/14,1331,1633
10/22/14,1113,974
10/23/14,1192,1189
10/24/14,1208,1570
10/25/14,372,368
10/26/14,507,409
10/27/14,1453,1877
10/28/14,1143,1118
10/29/14,1491,1905
10/30/14,1226,1166
10/31/14,1006,932
11/1/14,713,581
11/2/14,591,481
11/3/14,1284,1219
11/4/14,1425,1365
11/5/14,1219,1553
11/6/14,1153,1095
11/7/14,1252,1826
11/8/14,608,1246
11/9/14,444,308
11/10/14,1473,1781
11/11/14,1218,1573
11/12/14,1258,1484
11/13/14,1244,1372
11/14/14,1206,971
11/15/14,590,493
11/16/14,530,474
11/17/14,1524,1174
11/18/14,1404,1429
11/19/14,1260,1575
11/20/14,1208,1517
11/21/14,899,859
11/22/14,550,504
11/23/14,425,362
11/24/14,1367,1051
11/25/14,1078,873
11/26/14,1162,1077
11/27/14,295,205
11/28/14,171,153
11/29/14,169,176
11/30/14,243,250
12/1/14,944,865
12/2/14,1037,1102
12/3/14,1019,1275
12/4/14,951,1145
12/5/14,944,984
12/6/14,478,424
12/7/14,628,566
12/8/14,999,1390
12/9/14,1200,919
12/10/14,1208,749
12/11/14,422,1199
12/12/14,1181,1120
12/13/14,641,562
12/14/14,677,555
12/15/14,548,1735
12/16/14,1420,1004
12/17/14,587,1392
12/18/14,1229,712
12/19/14,953,917
12/20/14,216,188
12/21/14,454,390
12/22/14,1132,1124
12/23/14,730,670
12/24/14,430,383
12/25/14,253,198
12/26/14,485,514
12/27/14,281,262
12/28/14,352,292
12/29/14,821,820
12/30/14,756,744
12/31/14,713,618
1/1/15,390,321
1/2/15,643,571
1/3/15,452,365
1/4/15,165,174
1/5/15,1145,678
1/6/15,1731,994
1/7/15,1817,1008
1/8/15,1651,959
1/9/15,1326,1164
1/10/15,389,382
1/11/15,448,362
1/12/15,1698,972
1/13/15,1757,1009
1/14/15,1617,1006
1/15/15,1213,685
1/16/15,1306,836
1/17/15,318,274
1/18/15,249,222
1/19/15,1049,933
1/20/15,1588,1339
1/21/15,1602,950
1/22/15,1368,815
1/23/15,1114,663
1/24/15,652,511
1/25/15,1262,893
1/26/15,2038,1121
1/27/15,1561,1002
1/28/15,1572,1391
1/29/15,1607,1454
1/30/15,1363,1249
1/31/15,663,573
2/1/15,390,318
2/2/15,1153,751
2/3/15,1422,912
2/4/15,1424,827
